userid,itemid,rating
420272,2260466,10
273551,153475,10
360448,1063761,10
909926,126335,8
151944,616682,10
734848,364092,8
336066,568429,10
86661,130259,10
166228,1729232,10
154309,1729232,10
185966,1077123,8
533900,130259,8
87660,1295171,10
391778,143094,8
721308,123793,10
829124,2595752,10
499943,909221,10
339899,1622747,10
649288,172027,8
16800,1229740,10
661150,900878,10
983550,197391,8
871659,2736018,10
497541,382883,8
862005,134393,10
85200,875667,8
289165,241461,10
610914,1739627,10
205922,149913,8
513479,1133906,10
110746,872951,10
854094,123373,10
335467,2155094,10
845755,387552,10
681609,203856,8
858777,1364569,10
729616,1064397,8
908171,174086,8
276186,2251739,10
330024,182915,10
351728,1497935,10
606693,1542652,8
126879,1406963,4
956351,1854157,10
214108,2872079,10
345053,1754771,8
407375,321674,6
804645,1312996,10
979773,1281865,10
268942,1829354,8
390300,1457605,10
375120,973512,10
597998,2884139,10
355308,1795313,10
970594,1048184,10
112436,298830,10
335862,131533,10
880778,1726756,10
871986,808736,8
234006,206536,10
870233,123793,10
742630,1923283,10
335330,1730182,10
208980,1851598,10
24792,2107747,10
948424,1472909,6
269712,259136,8
342682,619157,10
245758,132738,8
85681,135750,8
769732,1113191,10
468958,2410627,10
383116,126335,10
771780,962489,10
397123,982932,10
623308,2529552,10
576569,1091654,10
693094,130259,8
434928,2429745,10
321791,131533,10
925239,2712258,10
602505,193179,10
877347,1731468,8
821863,168610,8
169669,877767,10
367158,1379493,10
767667,806803,10
671344,1764436,10
297874,734229,8
53744,714374,10
203660,1126889,6
704778,1415952,10
650436,1009845,8
545501,1987884,10
669880,1896920,10
968848,714374,10
486976,1414750,8
538528,672419,10
428934,174086,10
713380,838983,10
333312,224876,10
350548,144931,10
172378,146684,10
627633,550590,10
65339,1469072,10
974850,144585,6
219194,1146287,10
496321,2904350,10
321146,655967,10
526461,883661,8
603920,191514,10
981029,181161,6
581264,417055,10
358518,722678,10
216819,740349,10
1066,125564,10
963584,1072520,10
975877,1671465,10
211039,1226293,10
664723,883661,10
189386,1111873,10
548864,386314,10
723815,152836,8
130278,125564,8
272941,1501987,8
41413,284665,10
755121,2158338,10
249024,153475,10
324537,1207360,10
76026,376859,10
270203,1557847,10
832715,1871026,4
222657,1851598,10
649616,1840637,8
738034,1453669,10
617526,1822664,10
950059,890105,8
986926,1261393,10
379856,992623,10
464298,180843,10
173819,193179,10
790516,167112,10
849315,2576170,10
281878,1920477,10
167010,374312,10
194525,141300,6
156353,979016,10
918700,1303995,10
5751,714374,10
704283,2155094,10
149491,1064880,10
303584,467817,8
898006,135750,2
74328,2343054,8
299660,141761,6
70197,174086,8
168438,1042783,8
329210,1108814,10
500128,131533,10
32925,985087,10
391310,1318793,8
250765,2809120,8
307411,127081,8
977243,1640697,8
471322,1523882,10
855337,188052,10
29786,145906,10
486610,188485,8
