id,Clothing ID,Rating
0,767,4
1,1080,5
2,1077,3
3,1049,5
4,847,5
5,1080,2
6,858,5
7,858,4
8,1077,5
9,1077,5
10,1077,3
11,1095,5
12,1095,5
13,767,5
14,1077,3
15,1065,4
16,1065,3
17,853,5
18,1120,5
19,1077,5
20,847,4
21,1080,4
22,1077,2
23,1077,3
24,847,5
25,697,3
26,949,2
27,1003,4
28,684,5
29,4,5
30,1060,5
31,1060,5
32,1060,5
33,949,2
34,697,5
35,1060,4
36,1002,4
37,949,5
38,684,5
39,862,5
40,862,4
41,862,5
42,910,5
43,89,4
44,862,5
45,862,4
46,862,5
47,823,5
48,910,5
49,862,5
50,862,4
51,862,5
52,1104,3
53,862,5
54,862,4
55,862,5
56,368,2
57,862,3
58,1095,4
59,368,4
60,1095,5
61,368,1
62,862,5
63,862,5
64,862,5
65,862,4
66,862,4
67,862,5
68,862,2
69,1078,3
70,845,4
71,822,2
72,850,5
73,866,4
74,1081,5
75,845,5
76,1082,4
77,850,2
78,836,5
79,1081,4
80,1072,5
81,863,5
82,1133,5
83,822,5
84,861,3
85,866,1
86,850,4
87,1081,4
88,845,2
89,836,4
90,1078,4
91,850,5
92,861,5
93,1081,5
94,850,4
95,863,5
96,845,1
97,861,1
98,1133,5
99,861,3
100,861,4
101,863,4
102,822,5
103,822,2
104,863,2
105,836,5
106,836,4
107,836,4
108,836,5
109,1081,5
110,861,1
111,1081,3
112,836,5
113,1081,5
114,1082,2
115,863,4
116,1072,4
117,1078,5
118,850,2
119,836,5
120,861,5
121,966,5
122,1196,5
123,836,5
124,923,3
125,1072,3
126,1133,4
127,1133,5
128,966,4
129,863,5
130,845,4
131,1081,3
132,861,4
133,966,5
134,845,5
135,861,4
136,966,4
137,836,4
138,126,4
139,1008,5
140,829,5
141,828,4
142,1126,5
143,1008,5
144,829,3
145,828,3
146,1008,5
147,1011,5
148,1008,5
149,1008,5
150,1008,5
151,1008,4
152,829,3
153,829,3
154,829,3
155,829,5
156,1008,5
157,523,3
158,829,4
159,829,4
160,1126,4
161,829,1
162,829,4
163,1008,5
164,1126,4
165,829,3
166,1020,5
167,895,5
168,862,5
169,1104,5
170,670,5
171,329,5
172,670,4
173,868,4
174,1020,5
175,862,4
176,895,5
177,895,5
178,1094,2
179,895,5
180,895,5
181,1020,4
182,895,5
183,1020,4
184,895,2
185,895,2
186,1020,4
187,596,5
188,1094,4
189,1020,4
190,895,4
191,895,2
192,895,5
193,1020,5
194,1098,3
195,895,5
196,862,5
197,1020,5
198,895,5
199,1020,3
200,895,3
201,895,5
202,895,3
203,895,5
204,828,4
205,1020,3
206,862,5
207,1020,4
208,895,5
209,862,1
210,895,5
211,1020,4
212,1075,4
213,1104,5
214,1020,1
215,1094,5
216,305,2
217,828,5
218,1094,5
219,828,5
220,895,4
221,1020,5
222,895,5
223,647,5
224,1025,4
225,1025,5
226,815,5
227,1066,4
228,840,4
229,1026,4
230,840,5
231,1066,5
232,840,2
233,1030,5
234,840,5
235,1066,5
236,647,5
237,1066,2
238,872,5
239,840,3
240,1066,4
241,647,1
242,1066,5
243,840,4
244,1066,3
245,872,5
246,1066,3
247,1115,4
248,1030,5
249,1018,4
250,1026,5
251,840,5
252,1066,5
253,647,5
254,840,5
255,840,4
256,840,5
257,1018,4
258,840,3
259,824,5
260,1115,5
261,840,5
262,878,3
263,984,5
264,1104,5
265,878,4
266,1104,5
267,984,4
268,866,4
269,1104,5
270,868,3
271,984,5
272,984,5
273,1104,5
274,878,5
275,1182,5
276,868,5
277,868,5
278,868,3
279,565,5
280,984,5
281,1104,5
282,868,5
283,878,5
284,868,4
285,1104,5
286,868,2
287,984,5
288,878,2
289,984,5
290,984,5
291,984,5
292,1024,5
293,984,3
294,984,5
295,1104,5
296,1024,5
297,984,5
298,1104,5
299,984,5
300,1104,4
301,984,5
302,895,5
303,1104,5
304,1131,3
305,984,5
306,1104,5
307,831,5
308,984,4
309,1104,5
310,836,5
311,1089,3
312,844,3
313,836,4
314,836,3
315,836,5
316,836,5
317,844,5
318,936,5
319,895,5
320,836,5
321,831,5
322,844,5
323,895,5
324,1066,5
325,844,2
326,836,5
327,836,4
328,907,5
329,836,5
330,844,3
331,1103,4
332,866,5
333,907,5
334,844,1
335,895,5
336,895,5
337,1080,5
338,831,5
339,844,5
340,844,4
341,831,5
342,836,5
343,907,5
344,844,3
345,895,5
346,895,5
347,907,5
348,844,5
349,836,3
350,844,2
351,844,4
352,844,5
353,936,2
354,907,5
355,936,5
356,831,1
357,907,5
358,862,3
359,836,3
360,936,4
361,895,5
362,836,3
363,580,5
364,895,5
365,862,4
366,862,5
367,844,5
368,836,2
369,895,5
370,836,5
371,895,5
372,895,5
373,895,5
374,836,5
375,859,4
376,862,3
377,1049,5
378,862,5
379,1089,5
380,1089,4
381,1104,3
382,127,4
383,1104,3
384,936,5
385,902,4
386,995,2
387,936,5
388,127,4
389,1104,1
390,1086,4
391,936,5
392,746,3
393,1081,4
394,127,3
395,936,3
396,127,3
397,1035,5
398,902,4
399,995,5
400,1104,5
401,1089,5
402,1086,3
403,902,2
404,902,5
405,1094,5
406,1086,3
407,936,5
408,1036,4
409,936,5
410,1094,5
411,1094,5
412,1086,5
413,127,5
414,127,5
415,1083,4
416,872,5
417,1083,2
418,831,5
419,1080,3
420,1077,5
421,872,4
422,964,5
423,1089,3
424,872,4
425,1083,5
426,829,4
427,964,5
428,1089,5
429,829,5
430,829,5
431,967,5
432,829,4
433,829,4
434,872,4
435,872,4
436,149,4
437,964,5
438,1030,5
439,964,5
440,1083,4
441,872,4
442,872,5
443,829,4
444,872,4
445,964,5
446,1089,3
447,872,3
448,872,5
449,872,5
450,1077,2
451,967,4
452,872,5
453,964,5
454,872,5
455,234,5
456,149,4
457,829,4
458,829,4
459,872,5
460,872,5
461,850,5
462,850,3
463,724,4
464,833,5
465,862,5
466,850,5
467,1078,5
468,850,5
469,1104,5
470,1078,3
471,984,4
472,850,5
473,204,5
474,1078,5
475,862,2
476,1078,5
477,984,5
478,1008,4
479,841,4
480,1104,3
481,850,5
482,1081,5
483,833,4
484,850,4
485,862,4
486,1078,5
487,850,5
488,850,5
489,831,5
490,833,5
491,984,4
492,1078,4
493,1104,5
494,1081,5
495,833,4
496,850,5
497,1078,5
498,850,3
499,1078,2
500,850,3
501,850,4
502,1078,5
503,948,2
504,850,5
505,833,4
506,1078,3
507,850,5
508,1078,4
509,1078,5
510,850,5
511,948,2
512,1078,5
513,850,3
514,1081,5
515,833,5
516,1081,5
517,850,4
518,850,2
519,850,5
520,984,5
521,850,4
522,1104,5
523,1104,1
524,1104,5
525,1078,5
526,850,5
527,850,5
528,984,3
529,1078,5
530,984,5
531,850,5
532,833,3
533,1078,3
534,850,5
535,1081,4
536,984,5
537,850,5
538,850,4
539,1104,5
